English,Meaning
kipling,Киплинг
ichiro,Ичиро
misconception,неправильное представление
corday,Корда
croatian,хорватский
accountability,подотчетность
sleepyhead,соня
spoonful,ложка
heywood,Хейвуд
sei,сеи
saree,сари
impersonal,безличный
haji,хаджи
reinhardt,Reinhardt
figuratively,образно
biceps,бицепс
bluetooth,блютус
trickle,струйка
exports,экспорт
caterers,общественное питание
belittle,умалить
chromosome,хромосома
inoue,Inoue
gardeners,садоводов
been-,был-
cokes,коксов
classify,Сортировать по
aztecs,ацтеки
chiaki,Тиаки
chews,жует
cog,зубец
ambrosia,амброзия
batista,Батиста
sieve,сито
thang,Тханг
leda,Леда
finney,Финни
gisborne,Гисборн
horne,Хорн
oedipus,Эдип
spasms,спазмов
smithy,кузница
yuuki,Юки
tibia,берцовая кость
hoyle,Хойл
wooing,ухаживание
stone-cold,холодный как камень
rockers,рокеры
s--that,с - что
carney,подлизываться
candlestick,подсвечник
bolder,смелее
gert,Герт
lodger,жилец
chappelle,Chappelle
unrequited,неоплаченный
poly,поли
flogging,порка
ong,Онг
mundo,Mundo
zimmer,Zimmer
capricious,капризный
sgt,Sgt
earpiece,наушник
renounced,отреченный
zeroes,обнуляет
impaled,Impaled
largo,ларго
treaties,договоры
bankroll,денежные средства
beowulf,Беовульф
squadrons,эскадроны
akiyama,Акияма
nissan,ниссан
nothings,бездельники
glades,поляны
biryani,бирьяни
patrolman,патрульный
valjean,Вальжан
tamsin,Tamsin
editions,издания
tupperware,Tupperware
combines,комбинаты
newsroom,отдел новостей
hannes,Ханнес
chemically,химически
nara,нара
corcoran,Corcoran
fanatical,фанатический
cellmate,сокамерник
judiciary,судебная система
imagines,воображает
masa,маса
pulsating,пульсирующий
richness,богатство
sideburns,бачки
goodie,Гуди
guerilla,партизанский
romana,Romana
sprinkled,посыпал
drape,драпировка
rollie,Ролли
noggin,башка
smut,головня
corbin,Корбин
checkin,регистрироваться
illuminating,освещающий
dulcinea,Дульсинея
vagrant,бродяга
springing,пружинящий
grouchy,ворчливый
conn,сопп
great.,здорово.
kunta,Кунта
fausto,Фаусто
m.d.,доктор медицины
thrives,процветает
maimed,искалеченный
incurred,понесены
kerrigan,Керриган
kareem,Карима
porthos,Портос
cong,Цун
pellet,гранула
stools,испражнения
evaluations,оценки
rotterdam,роттердам
kal,кал
imogen,Имоджен
invariably,неизменно
laos,Лаос
stepmom,мачеха
pomegranate,гранатовый
flourishing,процветающий
idiocy,идиотизм
quince,айва
compatriots,соотечественники
bois,буа
surrey,легкий двухместный экипаж
loaves,буханки
galore,в изобилии
maltese,мальтийский
belch,отрыжка
unguarded,неосторожный
superfluous,излишний
toshio,Тошио
impoverished,обедневший
inter,между
segments,сегменты
constellations,созвездия
filtered,отфильтрованный
appraisal,оценка
trinket,безделушка
attica,Аттика
drunkenness,пьянство
enigmatic,загадочный
1990s,1990-е годы
bayliss,Бейлис
grundy,большое жюри
toulouse,тулуза
corals,кораллы
quacks,шарлатаны
crumbled,рассыпались
abductions,похищения
estimation,оценка
solly,Солли
shibuya,Shibuya
plantations,плантации
carne,карне
mounds,курганы
eons,эр
depravity,развращенность
drumroll,барабанная дробь
withers,холка
half-assed,наполовину оценочный
do-over,сделать больше
fluttershy,Флаттершай
adept,искусный
ensured,Обеспечено
paychecks,зарплаты
cully,простак
drafting,разработка
equinox,равноденствие
ricci,риччи
schoolmaster,школьный учитель
terrifies,ужасает
low-life,низкий уровень жизни
toshi,Тоши
murthy,Мурти
mauled,избитый
aeroplanes,самолеты
satire,сатира
montoya,Монтойя
bountiful,обильный
splendidly,отлично
undue,несвоевременный
lunchbox,коробка для ланча
ora,ора
rhyming,рифмующий
unmistakable,безошибочный
lauderdale,лодердейл
fresco,фреска
strudel,струдель
och,оч
busier,занятыми
estonia,Эстония
squirming,извиваться
colds,простуда
moines,Мойн
stewed,тушеная
absinthe,абсент
tachibana,Татибана
replaces,Заменяет
definitively,окончательно
mares,кобылы
psychopathic,психопатические
couriers,курьеры
discrepancy,несоответствие
half-sister,сводная сестра
gendarmes,жандармы
foryour,для тебя
giraffes,жирафы
unpleasantness,непривлекательность
summarize,подвести итог
query,запрос
replicator,репликатор
srjanapala,srjanapala
undesirable,нежелательный
originality,оригинальность
lobotomy,лоботомия
mightiest,могущественная
glanced,взглянул
afforded,дает
gritty,песчаный
hiroko,Хироко
makeshift,импровизированный
riveting,клепки
lucian,Лукиан
nyet,Nyet
indignation,возмущение
should-,должен-
pissy,Pissy
clergyman,священник
krueger,Крюгер
elanna,Еланна
ilsa,Ильза
irregularities,нарушения
bandaged,Bandaged
seven-year-old,семь-летний
judson,Джадсон
pollack,сайда
tash,таш
cripples,калеки
merritt,Мерритт
darhk,darhk
culmination,кульминация
backstabbing,Backstabbing
documenting,документирование
bullpen,КПЗ
collisions,столкновения
plaything,игрушка
ashram,ашрам
floozy,бабенка
low-key,неброский
jiminy,Jiminy
hell-bent,одержимый
rockies,Скалистые Горы
thingies,рюшечки
live-in,жить в
inefficient,неэффективный
sheath,ножны
splattered,забрызгали
wristwatch,наручные часы
appa,APPA
reformation,реформация
durable,прочный
spatula,шпатель
rallying,сплочение
debated,обсуждается
